                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.8469,                0.66074,                 1.1188,                0.92829,                 0.7031,                 1.1339,                0.77851,                0.68862,                0.77135,                 0.4492,                 1.3734,                 0.9813,                 1.5035,                 1.4337,                 1.0413,                 1.5192,             0.00033701,             0.00033701,             0.00033701
                     83,                0.82639,                0.64274,                 1.0971,                 0.9114,                  0.674,                 1.1091,                0.76677,                 0.7194,                 0.7796,                0.45178,                 1.3971,                0.97169,                 1.5391,                 1.4466,                 1.0358,                 1.5357,              0.0003323,              0.0003323,              0.0003323
                     84,                0.85304,                0.66469,                 1.1208,                0.93175,                  0.685,                 1.1298,                0.76584,                0.71345,                0.77775,                0.45824,                 1.3502,                0.97275,                 1.4896,                 1.4139,                 1.0251,                 1.5073,             0.00032758,             0.00032758,             0.00032758
                     85,                0.83349,                0.64818,                 1.1045,                0.91303,                0.68123,                 1.1227,                0.77704,                0.72266,                0.79263,                0.46706,                 1.3805,                0.94251,                 1.5103,                 1.4333,                0.98147,                 1.5181,             0.00032287,             0.00032287,             0.00032287
                     86,                0.82269,                0.62844,                 1.0936,                0.90725,                0.66213,                 1.1107,                 0.7409,                0.71624,                0.77402,                0.45308,                 1.3948,                0.97205,                 1.5419,                 1.4398,                 1.0395,                 1.5392,             0.00031816,             0.00031816,             0.00031816
                     87,                0.80179,                0.65187,                 1.1042,                0.88633,                0.70421,                  1.119,                 0.7601,                0.68151,                0.76106,                0.44704,                 1.3772,                0.99379,                 1.5191,                 1.4391,                 1.0517,                 1.5316,             0.00031345,             0.00031345,             0.00031345
                     88,                0.81382,                0.63536,                 1.0931,                0.89884,                  0.665,                 1.1049,                0.77085,                0.69276,                 0.7723,                0.45432,                 1.3989,                 1.0053,                 1.5406,                 1.4558,                 1.0915,                 1.5411,             0.00030873,             0.00030873,             0.00030873
                     89,                0.80547,                0.62779,                  1.103,                 0.8928,                0.66832,                 1.1222,                0.75952,                0.70101,                0.77363,                0.45236,                 1.3755,                0.99167,                 1.5327,                 1.4407,                 1.0714,                 1.5446,             0.00030402,             0.00030402,             0.00030402
                     90,                0.79081,                0.61218,                 1.0871,                 0.8699,                0.65413,                 1.1051,                0.76996,                0.71291,                0.78297,                0.45819,                 1.3698,                0.95724,                 1.5341,                  1.423,                 1.0002,                  1.544,             0.00029931,             0.00029931,             0.00029931
                     91,                0.80404,                0.62114,                 1.0949,                0.88128,                0.64161,                 1.1078,                0.74969,                0.70123,                0.76933,                0.44494,                 1.4048,                 1.0328,                 1.5496,                 1.4615,                 1.0847,                 1.5474,              0.0002946,              0.0002946,              0.0002946
                     92,                0.81225,                0.62548,                 1.0899,                0.89525,                0.65281,                 1.1071,                0.76196,                0.71965,                0.77228,                0.44555,                 1.4188,                0.97804,                 1.5474,                 1.4805,                  1.048,                 1.5656,             0.00028988,             0.00028988,             0.00028988
                     93,                0.80234,                0.62982,                 1.0917,                 0.8937,                0.67722,                 1.1124,                0.76888,                0.70402,                0.77432,                 0.4545,                 1.3855,                0.99205,                  1.535,                 1.4397,                 1.0828,                 1.5461,             0.00028517,             0.00028517,             0.00028517
                     94,                 0.7876,                0.60914,                  1.091,                0.86737,                0.63302,                 1.1044,                 0.7392,                0.71378,                0.77053,                0.45521,                 1.3814,                0.98768,                 1.5278,                 1.4398,                 1.0686,                 1.5356,             0.00028046,             0.00028046,             0.00028046
                     95,                0.78359,                0.60725,                 1.0846,                0.86251,                0.63871,                 1.1012,                0.72587,                0.72568,                0.77867,                0.45502,                 1.3809,                0.95955,                 1.5353,                 1.4316,                  1.036,                 1.5356,             0.00027575,             0.00027575,             0.00027575
                     96,                0.77788,                0.61887,                 1.0919,                 0.8549,                0.65529,                 1.1031,                0.75853,                0.72949,                0.77759,                0.45326,                  1.397,                0.96222,                  1.544,                 1.4523,                 1.0308,                 1.5478,             0.00027103,             0.00027103,             0.00027103
                     97,                0.78008,                0.59928,                 1.0798,                0.85597,                0.63227,                 1.0925,                0.76935,                0.67548,                0.76269,                0.44626,                 1.3965,                 1.0246,                 1.5721,                 1.4556,                 1.1021,                 1.5789,             0.00026632,             0.00026632,             0.00026632
                     98,                0.79498,                0.61162,                 1.0938,                 0.8745,                0.65792,                 1.1127,                0.75043,                0.71344,                0.77678,                0.45422,                 1.3927,                0.98418,                 1.5381,                 1.4407,                 1.0713,                 1.5384,             0.00026161,             0.00026161,             0.00026161
                     99,                0.75848,                0.58924,                  1.072,                0.83262,                0.62196,                 1.0824,                0.72346,                0.73762,                0.76652,                0.44607,                  1.399,                 1.0173,                 1.5705,                 1.4564,                 1.0841,                 1.5707,              0.0002569,              0.0002569,              0.0002569
                    100,                0.76001,                0.57636,                 1.0758,                0.83961,                0.59305,                 1.0888,                0.76949,                0.72472,                0.77762,                0.45633,                 1.4062,                0.98007,                 1.5579,                 1.4584,                 1.0483,                 1.5546,             0.00025218,             0.00025218,             0.00025218
                    101,                 0.7609,                0.57659,                 1.0687,                0.84358,                0.59533,                 1.0805,                0.73695,                0.72536,                0.77517,                0.45752,                 1.3717,                 1.0006,                 1.5287,                 1.4296,                 1.0814,                 1.5343,             0.00024747,             0.00024747,             0.00024747
